"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/04/2023 06:00:00 - 04/04/2023 07:00:00","BZN|ES","Without Sequence","76.24","",""
"04/04/2023 07:00:00 - 04/04/2023 08:00:00","BZN|ES","Without Sequence","89.65","",""
"04/04/2023 08:00:00 - 04/04/2023 09:00:00","BZN|ES","Without Sequence","90.99","",""
"04/04/2023 09:00:00 - 04/04/2023 10:00:00","BZN|ES","Without Sequence","59.00","",""
"04/04/2023 10:00:00 - 04/04/2023 11:00:00","BZN|ES","Without Sequence","31.71","",""
"04/04/2023 11:00:00 - 04/04/2023 12:00:00","BZN|ES","Without Sequence","26.99","",""
"04/04/2023 12:00:00 - 04/04/2023 13:00:00","BZN|ES","Without Sequence","15.49","",""
"04/04/2023 13:00:00 - 04/04/2023 14:00:00","BZN|ES","Without Sequence","15.49","",""
"04/04/2023 14:00:00 - 04/04/2023 15:00:00","BZN|ES","Without Sequence","15.49","",""
"04/04/2023 15:00:00 - 04/04/2023 16:00:00","BZN|ES","Without Sequence","10.00","",""
"04/04/2023 16:00:00 - 04/04/2023 17:00:00","BZN|ES","Without Sequence","8.00","",""
"04/04/2023 17:00:00 - 04/04/2023 18:00:00","BZN|ES","Without Sequence","10.00","",""
"04/04/2023 18:00:00 - 04/04/2023 19:00:00","BZN|ES","Without Sequence","15.49","",""
"04/04/2023 19:00:00 - 04/04/2023 20:00:00","BZN|ES","Without Sequence","38.20","",""
"04/04/2023 20:00:00 - 04/04/2023 21:00:00","BZN|ES","Without Sequence","106.14","",""
"04/04/2023 21:00:00 - 04/04/2023 22:00:00","BZN|ES","Without Sequence","104.00","",""
"04/04/2023 22:00:00 - 04/04/2023 23:00:00","BZN|ES","Without Sequence","90.99","",""
"04/04/2023 23:00:00 - 05/04/2023 00:00:00","BZN|ES","Without Sequence","89.65","",""
"05/04/2023 00:00:00 - 05/04/2023 01:00:00","BZN|ES","Without Sequence","70.25","",""
"05/04/2023 01:00:00 - 05/04/2023 02:00:00","BZN|ES","Without Sequence","108.76","",""
"05/04/2023 02:00:00 - 05/04/2023 03:00:00","BZN|ES","Without Sequence","114.65","",""
"05/04/2023 03:00:00 - 05/04/2023 04:00:00","BZN|ES","Without Sequence","115.33","",""
"05/04/2023 04:00:00 - 05/04/2023 05:00:00","BZN|ES","Without Sequence","116.53","",""
"05/04/2023 05:00:00 - 05/04/2023 06:00:00","BZN|ES","Without Sequence","120.69","",""
"05/04/2023 06:00:00 - 05/04/2023 07:00:00","BZN|ES","Without Sequence","122.72","",""
"05/04/2023 07:00:00 - 05/04/2023 08:00:00","BZN|ES","Without Sequence","137.23","",""
"05/04/2023 08:00:00 - 05/04/2023 09:00:00","BZN|ES","Without Sequence","138.83","",""
"05/04/2023 09:00:00 - 05/04/2023 10:00:00","BZN|ES","Without Sequence","123.62","",""
"05/04/2023 10:00:00 - 05/04/2023 11:00:00","BZN|ES","Without Sequence","104.23","",""
"05/04/2023 11:00:00 - 05/04/2023 12:00:00","BZN|ES","Without Sequence","84.89","",""
"05/04/2023 12:00:00 - 05/04/2023 13:00:00","BZN|ES","Without Sequence","70.00","",""
"05/04/2023 13:00:00 - 05/04/2023 14:00:00","BZN|ES","Without Sequence","61.12","",""
"05/04/2023 14:00:00 - 05/04/2023 15:00:00","BZN|ES","Without Sequence","55.00","",""
"05/04/2023 15:00:00 - 05/04/2023 16:00:00","BZN|ES","Without Sequence","42.02","",""
"05/04/2023 16:00:00 - 05/04/2023 17:00:00","BZN|ES","Without Sequence","42.03","",""
"05/04/2023 17:00:00 - 05/04/2023 18:00:00","BZN|ES","Without Sequence","55.00","",""
"05/04/2023 18:00:00 - 05/04/2023 19:00:00","BZN|ES","Without Sequence","75.00","",""
"05/04/2023 19:00:00 - 05/04/2023 20:00:00","BZN|ES","Without Sequence","127.28","",""
"05/04/2023 20:00:00 - 05/04/2023 21:00:00","BZN|ES","Without Sequence","166.06","",""
"05/04/2023 21:00:00 - 05/04/2023 22:00:00","BZN|ES","Without Sequence","164.98","",""
"05/04/2023 22:00:00 - 05/04/2023 23:00:00","BZN|ES","Without Sequence","151.39","",""
"05/04/2023 23:00:00 - 06/04/2023 00:00:00","BZN|ES","Without Sequence","130.43","",""
"06/04/2023 00:00:00 - 06/04/2023 01:00:00","BZN|ES","Without Sequence","135.54","",""
"06/04/2023 01:00:00 - 06/04/2023 02:00:00","BZN|ES","Without Sequence","124.12","",""
"06/04/2023 02:00:00 - 06/04/2023 03:00:00","BZN|ES","Without Sequence","120.00","",""
"06/04/2023 03:00:00 - 06/04/2023 04:00:00","BZN|ES","Without Sequence","115.33","",""
"06/04/2023 04:00:00 - 06/04/2023 05:00:00","BZN|ES","Without Sequence","114.85","",""
"06/04/2023 05:00:00 - 06/04/2023 06:00:00","BZN|ES","Without Sequence","124.91","",""
"06/04/2023 06:00:00 - 06/04/2023 07:00:00","BZN|ES","Without Sequence","113.01","",""
"06/04/2023 07:00:00 - 06/04/2023 08:00:00","BZN|ES","Without Sequence","99.12","",""
"06/04/2023 08:00:00 - 06/04/2023 09:00:00","BZN|ES","Without Sequence","94.80","",""
"06/04/2023 09:00:00 - 06/04/2023 10:00:00","BZN|ES","Without Sequence","115.33","",""
"06/04/2023 10:00:00 - 06/04/2023 11:00:00","BZN|ES","Without Sequence","60.00","",""
"06/04/2023 11:00:00 - 06/04/2023 12:00:00","BZN|ES","Without Sequence","50.78","",""
"06/04/2023 12:00:00 - 06/04/2023 13:00:00","BZN|ES","Without Sequence","42.02","",""
"06/04/2023 13:00:00 - 06/04/2023 14:00:00","BZN|ES","Without Sequence","41.63","",""
"06/04/2023 14:00:00 - 06/04/2023 15:00:00","BZN|ES","Without Sequence","41.33","",""
"06/04/2023 15:00:00 - 06/04/2023 16:00:00","BZN|ES","Without Sequence","27.78","",""
"06/04/2023 16:00:00 - 06/04/2023 17:00:00","BZN|ES","Without Sequence","25.00","",""
"06/04/2023 17:00:00 - 06/04/2023 18:00:00","BZN|ES","Without Sequence","25.00","",""
"06/04/2023 18:00:00 - 06/04/2023 19:00:00","BZN|ES","Without Sequence","42.23","",""
"06/04/2023 19:00:00 - 06/04/2023 20:00:00","BZN|ES","Without Sequence","127.45","",""
"06/04/2023 20:00:00 - 06/04/2023 21:00:00","BZN|ES","Without Sequence","127.45","",""
"06/04/2023 21:00:00 - 06/04/2023 22:00:00","BZN|ES","Without Sequence","133.67","",""
"06/04/2023 22:00:00 - 06/04/2023 23:00:00","BZN|ES","Without Sequence","127.45","",""
"06/04/2023 23:00:00 - 07/04/2023 00:00:00","BZN|ES","Without Sequence","122.88","",""
"07/04/2023 00:00:00 - 07/04/2023 01:00:00","BZN|ES","Without Sequence","116.61","",""
"07/04/2023 01:00:00 - 07/04/2023 02:00:00","BZN|ES","Without Sequence","110.43","",""
"07/04/2023 02:00:00 - 07/04/2023 03:00:00","BZN|ES","Without Sequence","113.79","",""
"07/04/2023 03:00:00 - 07/04/2023 04:00:00","BZN|ES","Without Sequence","115.33","",""
"07/04/2023 04:00:00 - 07/04/2023 05:00:00","BZN|ES","Without Sequence","112.02","",""
"07/04/2023 05:00:00 - 07/04/2023 06:00:00","BZN|ES","Without Sequence","111.23","",""
"07/04/2023 06:00:00 - 07/04/2023 07:00:00","BZN|ES","Without Sequence","132.87","",""
"07/04/2023 07:00:00 - 07/04/2023 08:00:00","BZN|ES","Without Sequence","141.45","",""
"07/04/2023 08:00:00 - 07/04/2023 09:00:00","BZN|ES","Without Sequence","139.23","",""
"07/04/2023 09:00:00 - 07/04/2023 10:00:00","BZN|ES","Without Sequence","83.00","",""
"07/04/2023 10:00:00 - 07/04/2023 11:00:00","BZN|ES","Without Sequence","54.68","",""
"07/04/2023 11:00:00 - 07/04/2023 12:00:00","BZN|ES","Without Sequence","25.00","",""
"07/04/2023 12:00:00 - 07/04/2023 13:00:00","BZN|ES","Without Sequence","20.00","",""
"07/04/2023 13:00:00 - 07/04/2023 14:00:00","BZN|ES","Without Sequence","15.00","",""
"07/04/2023 14:00:00 - 07/04/2023 15:00:00","BZN|ES","Without Sequence","4.16","",""
"07/04/2023 15:00:00 - 07/04/2023 16:00:00","BZN|ES","Without Sequence","1.50","",""
"07/04/2023 16:00:00 - 07/04/2023 17:00:00","BZN|ES","Without Sequence","1.50","",""
"07/04/2023 17:00:00 - 07/04/2023 18:00:00","BZN|ES","Without Sequence","4.00","",""
"07/04/2023 18:00:00 - 07/04/2023 19:00:00","BZN|ES","Without Sequence","25.00","",""
"07/04/2023 19:00:00 - 07/04/2023 20:00:00","BZN|ES","Without Sequence","108.00","",""
"07/04/2023 20:00:00 - 07/04/2023 21:00:00","BZN|ES","Without Sequence","143.35","",""
"07/04/2023 21:00:00 - 07/04/2023 22:00:00","BZN|ES","Without Sequence","143.35","",""
"07/04/2023 22:00:00 - 07/04/2023 23:00:00","BZN|ES","Without Sequence","139.50","",""
"07/04/2023 23:00:00 - 08/04/2023 00:00:00","BZN|ES","Without Sequence","135.96","",""
"08/04/2023 00:00:00 - 08/04/2023 01:00:00","BZN|ES","Without Sequence","126.24","",""
"08/04/2023 01:00:00 - 08/04/2023 02:00:00","BZN|ES","Without Sequence","115.07","",""
"08/04/2023 02:00:00 - 08/04/2023 03:00:00","BZN|ES","Without Sequence","115.33","",""
"08/04/2023 03:00:00 - 08/04/2023 04:00:00","BZN|ES","Without Sequence","110.75","",""
"08/04/2023 04:00:00 - 08/04/2023 05:00:00","BZN|ES","Without Sequence","110.78","",""
"08/04/2023 05:00:00 - 08/04/2023 06:00:00","BZN|ES","Without Sequence","112.16","",""
"08/04/2023 06:00:00 - 08/04/2023 07:00:00","BZN|ES","Without Sequence","116.14","",""
"08/04/2023 07:00:00 - 08/04/2023 08:00:00","BZN|ES","Without Sequence","129.35","",""
"08/04/2023 08:00:00 - 08/04/2023 09:00:00","BZN|ES","Without Sequence","135.01","",""
"08/04/2023 09:00:00 - 08/04/2023 10:00:00","BZN|ES","Without Sequence","112.33","",""
"08/04/2023 10:00:00 - 08/04/2023 11:00:00","BZN|ES","Without Sequence","40.23","",""
"08/04/2023 11:00:00 - 08/04/2023 12:00:00","BZN|ES","Without Sequence","33.30","",""
"08/04/2023 12:00:00 - 08/04/2023 13:00:00","BZN|ES","Without Sequence","32.58","",""
"08/04/2023 13:00:00 - 08/04/2023 14:00:00","BZN|ES","Without Sequence","32.48","",""
"08/04/2023 14:00:00 - 08/04/2023 15:00:00","BZN|ES","Without Sequence","25.00","",""
"08/04/2023 15:00:00 - 08/04/2023 16:00:00","BZN|ES","Without Sequence","20.00","",""
"08/04/2023 16:00:00 - 08/04/2023 17:00:00","BZN|ES","Without Sequence","10.00","",""
"08/04/2023 17:00:00 - 08/04/2023 18:00:00","BZN|ES","Without Sequence","20.00","",""
"08/04/2023 18:00:00 - 08/04/2023 19:00:00","BZN|ES","Without Sequence","35.14","",""
"08/04/2023 19:00:00 - 08/04/2023 20:00:00","BZN|ES","Without Sequence","107.53","",""
"08/04/2023 20:00:00 - 08/04/2023 21:00:00","BZN|ES","Without Sequence","140.21","",""
"08/04/2023 21:00:00 - 08/04/2023 22:00:00","BZN|ES","Without Sequence","137.31","",""
"08/04/2023 22:00:00 - 08/04/2023 23:00:00","BZN|ES","Without Sequence","134.90","",""
"08/04/2023 23:00:00 - 09/04/2023 00:00:00","BZN|ES","Without Sequence","126.98","",""
"09/04/2023 00:00:00 - 09/04/2023 01:00:00","BZN|ES","Without Sequence","127.99","",""
"09/04/2023 01:00:00 - 09/04/2023 02:00:00","BZN|ES","Without Sequence","117.86","",""
"09/04/2023 02:00:00 - 09/04/2023 03:00:00","BZN|ES","Without Sequence","119.83","",""
"09/04/2023 03:00:00 - 09/04/2023 04:00:00","BZN|ES","Without Sequence","117.99","",""
"09/04/2023 04:00:00 - 09/04/2023 05:00:00","BZN|ES","Without Sequence","118.24","",""
"09/04/2023 05:00:00 - 09/04/2023 06:00:00","BZN|ES","Without Sequence","117.86","",""
"09/04/2023 06:00:00 - 09/04/2023 07:00:00","BZN|ES","Without Sequence","120.00","",""
"09/04/2023 07:00:00 - 09/04/2023 08:00:00","BZN|ES","Without Sequence","118.90","",""
"09/04/2023 08:00:00 - 09/04/2023 09:00:00","BZN|ES","Without Sequence","122.98","",""
"09/04/2023 09:00:00 - 09/04/2023 10:00:00","BZN|ES","Without Sequence","90.00","",""
"09/04/2023 10:00:00 - 09/04/2023 11:00:00","BZN|ES","Without Sequence","40.02","",""
"09/04/2023 11:00:00 - 09/04/2023 12:00:00","BZN|ES","Without Sequence","32.58","",""
"09/04/2023 12:00:00 - 09/04/2023 13:00:00","BZN|ES","Without Sequence","25.00","",""
"09/04/2023 13:00:00 - 09/04/2023 14:00:00","BZN|ES","Without Sequence","5.50","",""
"09/04/2023 14:00:00 - 09/04/2023 15:00:00","BZN|ES","Without Sequence","1.50","",""
"09/04/2023 15:00:00 - 09/04/2023 16:00:00","BZN|ES","Without Sequence","1.50","",""
"09/04/2023 16:00:00 - 09/04/2023 17:00:00","BZN|ES","Without Sequence","0.10","",""
"09/04/2023 17:00:00 - 09/04/2023 18:00:00","BZN|ES","Without Sequence","1.50","",""
"09/04/2023 18:00:00 - 09/04/2023 19:00:00","BZN|ES","Without Sequence","4.17","",""
"09/04/2023 19:00:00 - 09/04/2023 20:00:00","BZN|ES","Without Sequence","63.96","",""
"09/04/2023 20:00:00 - 09/04/2023 21:00:00","BZN|ES","Without Sequence","117.86","",""
"09/04/2023 21:00:00 - 09/04/2023 22:00:00","BZN|ES","Without Sequence","126.39","",""
"09/04/2023 22:00:00 - 09/04/2023 23:00:00","BZN|ES","Without Sequence","115.00","",""
"09/04/2023 23:00:00 - 10/04/2023 00:00:00","BZN|ES","Without Sequence","106.94","",""
"10/04/2023 00:00:00 - 10/04/2023 01:00:00","BZN|ES","Without Sequence","98.21","",""
"10/04/2023 01:00:00 - 10/04/2023 02:00:00","BZN|ES","Without Sequence","81.85","",""
"10/04/2023 02:00:00 - 10/04/2023 03:00:00","BZN|ES","Without Sequence","78.14","",""
"10/04/2023 03:00:00 - 10/04/2023 04:00:00","BZN|ES","Without Sequence","71.90","",""
"10/04/2023 04:00:00 - 10/04/2023 05:00:00","BZN|ES","Without Sequence","70.00","",""
"10/04/2023 05:00:00 - 10/04/2023 06:00:00","BZN|ES","Without Sequence","72.96","",""
"10/04/2023 06:00:00 - 10/04/2023 07:00:00","BZN|ES","Without Sequence","80.00","",""
"10/04/2023 07:00:00 - 10/04/2023 08:00:00","BZN|ES","Without Sequence","78.14","",""
"10/04/2023 08:00:00 - 10/04/2023 09:00:00","BZN|ES","Without Sequence","70.00","",""
"10/04/2023 09:00:00 - 10/04/2023 10:00:00","BZN|ES","Without Sequence","55.13","",""
"10/04/2023 10:00:00 - 10/04/2023 11:00:00","BZN|ES","Without Sequence","27.75","",""
"10/04/2023 11:00:00 - 10/04/2023 12:00:00","BZN|ES","Without Sequence","20.53","",""
"10/04/2023 12:00:00 - 10/04/2023 13:00:00","BZN|ES","Without Sequence","15.52","",""
"10/04/2023 13:00:00 - 10/04/2023 14:00:00","BZN|ES","Without Sequence","1.50","",""
"10/04/2023 14:00:00 - 10/04/2023 15:00:00","BZN|ES","Without Sequence","1.50","",""
"10/04/2023 15:00:00 - 10/04/2023 16:00:00","BZN|ES","Without Sequence","0.10","",""
"10/04/2023 16:00:00 - 10/04/2023 17:00:00","BZN|ES","Without Sequence","0.81","",""
"10/04/2023 17:00:00 - 10/04/2023 18:00:00","BZN|ES","Without Sequence","20.02","",""
"10/04/2023 18:00:00 - 10/04/2023 19:00:00","BZN|ES","Without Sequence","29.94","",""
"10/04/2023 19:00:00 - 10/04/2023 20:00:00","BZN|ES","Without Sequence","60.56","",""
"10/04/2023 20:00:00 - 10/04/2023 21:00:00","BZN|ES","Without Sequence","85.00","",""
"10/04/2023 21:00:00 - 10/04/2023 22:00:00","BZN|ES","Without Sequence","84.40","",""
"10/04/2023 22:00:00 - 10/04/2023 23:00:00","BZN|ES","Without Sequence","89.70","",""
"10/04/2023 23:00:00 - 11/04/2023 00:00:00","BZN|ES","Without Sequence","67.21","",""
"11/04/2023 00:00:00 - 11/04/2023 01:00:00","BZN|ES","Without Sequence","68.50","",""
"11/04/2023 01:00:00 - 11/04/2023 02:00:00","BZN|ES","Without Sequence","68.14","",""
"11/04/2023 02:00:00 - 11/04/2023 03:00:00","BZN|ES","Without Sequence","60.00","",""
"11/04/2023 03:00:00 - 11/04/2023 04:00:00","BZN|ES","Without Sequence","67.69","",""
"11/04/2023 04:00:00 - 11/04/2023 05:00:00","BZN|ES","Without Sequence","72.89","",""
"11/04/2023 05:00:00 - 11/04/2023 06:00:00","BZN|ES","Without Sequence","92.30","",""
"11/04/2023 06:00:00 - 11/04/2023 07:00:00","BZN|ES","Without Sequence","101.00","",""
"11/04/2023 07:00:00 - 11/04/2023 08:00:00","BZN|ES","Without Sequence","130.97","",""
"11/04/2023 08:00:00 - 11/04/2023 09:00:00","BZN|ES","Without Sequence","142.13","",""
"11/04/2023 09:00:00 - 11/04/2023 10:00:00","BZN|ES","Without Sequence","123.35","",""
"11/04/2023 10:00:00 - 11/04/2023 11:00:00","BZN|ES","Without Sequence","118.62","",""
"11/04/2023 11:00:00 - 11/04/2023 12:00:00","BZN|ES","Without Sequence","103.30","",""
"11/04/2023 12:00:00 - 11/04/2023 13:00:00","BZN|ES","Without Sequence","110.65","",""
"11/04/2023 13:00:00 - 11/04/2023 14:00:00","BZN|ES","Without Sequence","105.53","",""
"11/04/2023 14:00:00 - 11/04/2023 15:00:00","BZN|ES","Without Sequence","63.05","",""
"11/04/2023 15:00:00 - 11/04/2023 16:00:00","BZN|ES","Without Sequence","40.02","",""
"11/04/2023 16:00:00 - 11/04/2023 17:00:00","BZN|ES","Without Sequence","35.27","",""
"11/04/2023 17:00:00 - 11/04/2023 18:00:00","BZN|ES","Without Sequence","35.00","",""
"11/04/2023 18:00:00 - 11/04/2023 19:00:00","BZN|ES","Without Sequence","39.93","",""
"11/04/2023 19:00:00 - 11/04/2023 20:00:00","BZN|ES","Without Sequence","100.69","",""
"11/04/2023 20:00:00 - 11/04/2023 21:00:00","BZN|ES","Without Sequence","134.25","",""
"11/04/2023 21:00:00 - 11/04/2023 22:00:00","BZN|ES","Without Sequence","141.39","",""
"11/04/2023 22:00:00 - 11/04/2023 23:00:00","BZN|ES","Without Sequence","129.47","",""
"11/04/2023 23:00:00 - 12/04/2023 00:00:00","BZN|ES","Without Sequence","109.55","",""
"12/04/2023 00:00:00 - 12/04/2023 01:00:00","BZN|ES","Without Sequence","93.65","",""
"12/04/2023 01:00:00 - 12/04/2023 02:00:00","BZN|ES","Without Sequence","65.74","",""
"12/04/2023 02:00:00 - 12/04/2023 03:00:00","BZN|ES","Without Sequence","41.64","",""
"12/04/2023 03:00:00 - 12/04/2023 04:00:00","BZN|ES","Without Sequence","41.46","",""
"12/04/2023 04:00:00 - 12/04/2023 05:00:00","BZN|ES","Without Sequence","42.00","",""
"12/04/2023 05:00:00 - 12/04/2023 06:00:00","BZN|ES","Without Sequence","50.00","",""
"12/04/2023 06:00:00 - 12/04/2023 07:00:00","BZN|ES","Without Sequence","68.50","",""
"12/04/2023 07:00:00 - 12/04/2023 08:00:00","BZN|ES","Without Sequence","96.72","",""
"12/04/2023 08:00:00 - 12/04/2023 09:00:00","BZN|ES","Without Sequence","98.62","",""
"12/04/2023 09:00:00 - 12/04/2023 10:00:00","BZN|ES","Without Sequence","42.00","",""
"12/04/2023 10:00:00 - 12/04/2023 11:00:00","BZN|ES","Without Sequence","25.00","",""
"12/04/2023 11:00:00 - 12/04/2023 12:00:00","BZN|ES","Without Sequence","4.17","",""
"12/04/2023 12:00:00 - 12/04/2023 13:00:00","BZN|ES","Without Sequence","4.16","",""
"12/04/2023 13:00:00 - 12/04/2023 14:00:00","BZN|ES","Without Sequence","4.16","",""
"12/04/2023 14:00:00 - 12/04/2023 15:00:00","BZN|ES","Without Sequence","1.60","",""
"12/04/2023 15:00:00 - 12/04/2023 16:00:00","BZN|ES","Without Sequence","1.60","",""
"12/04/2023 16:00:00 - 12/04/2023 17:00:00","BZN|ES","Without Sequence","1.60","",""
"12/04/2023 17:00:00 - 12/04/2023 18:00:00","BZN|ES","Without Sequence","4.16","",""
"12/04/2023 18:00:00 - 12/04/2023 19:00:00","BZN|ES","Without Sequence","4.16","",""
"12/04/2023 19:00:00 - 12/04/2023 20:00:00","BZN|ES","Without Sequence","20.28","",""
"12/04/2023 20:00:00 - 12/04/2023 21:00:00","BZN|ES","Without Sequence","41.28","",""
"12/04/2023 21:00:00 - 12/04/2023 22:00:00","BZN|ES","Without Sequence","70.00","",""
"12/04/2023 22:00:00 - 12/04/2023 23:00:00","BZN|ES","Without Sequence","65.74","",""
"12/04/2023 23:00:00 - 13/04/2023 00:00:00","BZN|ES","Without Sequence","45.29","",""
"13/04/2023 00:00:00 - 13/04/2023 01:00:00","BZN|ES","Without Sequence","79.41","",""
"13/04/2023 01:00:00 - 13/04/2023 02:00:00","BZN|ES","Without Sequence","74.10","",""
"13/04/2023 02:00:00 - 13/04/2023 03:00:00","BZN|ES","Without Sequence","72.89","",""
"13/04/2023 03:00:00 - 13/04/2023 04:00:00","BZN|ES","Without Sequence","72.86","",""
"13/04/2023 04:00:00 - 13/04/2023 05:00:00","BZN|ES","Without Sequence","72.89","",""
"13/04/2023 05:00:00 - 13/04/2023 06:00:00","BZN|ES","Without Sequence","83.20","",""
"13/04/2023 06:00:00 - 13/04/2023 07:00:00","BZN|ES","Without Sequence","90.76","",""
"13/04/2023 07:00:00 - 13/04/2023 08:00:00","BZN|ES","Without Sequence","123.54","",""
"13/04/2023 08:00:00 - 13/04/2023 09:00:00","BZN|ES","Without Sequence","106.21","",""
"13/04/2023 09:00:00 - 13/04/2023 10:00:00","BZN|ES","Without Sequence","90.65","",""
"13/04/2023 10:00:00 - 13/04/2023 11:00:00","BZN|ES","Without Sequence","35.64","",""
"13/04/2023 11:00:00 - 13/04/2023 12:00:00","BZN|ES","Without Sequence","4.16","",""
"13/04/2023 12:00:00 - 13/04/2023 13:00:00","BZN|ES","Without Sequence","1.60","",""
"13/04/2023 13:00:00 - 13/04/2023 14:00:00","BZN|ES","Without Sequence","1.50","",""
"13/04/2023 14:00:00 - 13/04/2023 15:00:00","BZN|ES","Without Sequence","0.57","",""
"13/04/2023 15:00:00 - 13/04/2023 16:00:00","BZN|ES","Without Sequence","0.10","",""
"13/04/2023 16:00:00 - 13/04/2023 17:00:00","BZN|ES","Without Sequence","0.10","",""
"13/04/2023 17:00:00 - 13/04/2023 18:00:00","BZN|ES","Without Sequence","1.50","",""
"13/04/2023 18:00:00 - 13/04/2023 19:00:00","BZN|ES","Without Sequence","1.60","",""
"13/04/2023 19:00:00 - 13/04/2023 20:00:00","BZN|ES","Without Sequence","25.00","",""
"13/04/2023 20:00:00 - 13/04/2023 21:00:00","BZN|ES","Without Sequence","100.00","",""
"13/04/2023 21:00:00 - 13/04/2023 22:00:00","BZN|ES","Without Sequence","122.00","",""
"13/04/2023 22:00:00 - 13/04/2023 23:00:00","BZN|ES","Without Sequence","104.00","",""
"13/04/2023 23:00:00 - 14/04/2023 00:00:00","BZN|ES","Without Sequence","103.61","",""
"14/04/2023 00:00:00 - 14/04/2023 01:00:00","BZN|ES","Without Sequence","90.76","",""
"14/04/2023 01:00:00 - 14/04/2023 02:00:00","BZN|ES","Without Sequence","87.72","",""
"14/04/2023 02:00:00 - 14/04/2023 03:00:00","BZN|ES","Without Sequence","87.41","",""
"14/04/2023 03:00:00 - 14/04/2023 04:00:00","BZN|ES","Without Sequence","83.49","",""
"14/04/2023 04:00:00 - 14/04/2023 05:00:00","BZN|ES","Without Sequence","78.10","",""
"14/04/2023 05:00:00 - 14/04/2023 06:00:00","BZN|ES","Without Sequence","72.24","",""
"14/04/2023 06:00:00 - 14/04/2023 07:00:00","BZN|ES","Without Sequence","72.86","",""
"14/04/2023 07:00:00 - 14/04/2023 08:00:00","BZN|ES","Without Sequence","78.04","",""
"14/04/2023 08:00:00 - 14/04/2023 09:00:00","BZN|ES","Without Sequence","78.04","",""
"14/04/2023 09:00:00 - 14/04/2023 10:00:00","BZN|ES","Without Sequence","41.64","",""
"14/04/2023 10:00:00 - 14/04/2023 11:00:00","BZN|ES","Without Sequence","25.00","",""
"14/04/2023 11:00:00 - 14/04/2023 12:00:00","BZN|ES","Without Sequence","4.16","",""
"14/04/2023 12:00:00 - 14/04/2023 13:00:00","BZN|ES","Without Sequence","4.16","",""
"14/04/2023 13:00:00 - 14/04/2023 14:00:00","BZN|ES","Without Sequence","4.00","",""
"14/04/2023 14:00:00 - 14/04/2023 15:00:00","BZN|ES","Without Sequence","1.60","",""
"14/04/2023 15:00:00 - 14/04/2023 16:00:00","BZN|ES","Without Sequence","1.50","",""
"14/04/2023 16:00:00 - 14/04/2023 17:00:00","BZN|ES","Without Sequence","1.50","",""
"14/04/2023 17:00:00 - 14/04/2023 18:00:00","BZN|ES","Without Sequence","2.00","",""
"14/04/2023 18:00:00 - 14/04/2023 19:00:00","BZN|ES","Without Sequence","4.16","",""
"14/04/2023 19:00:00 - 14/04/2023 20:00:00","BZN|ES","Without Sequence","25.20","",""
"14/04/2023 20:00:00 - 14/04/2023 21:00:00","BZN|ES","Without Sequence","73.25","",""
"14/04/2023 21:00:00 - 14/04/2023 22:00:00","BZN|ES","Without Sequence","82.89","",""
"14/04/2023 22:00:00 - 14/04/2023 23:00:00","BZN|ES","Without Sequence","75.34","",""
"14/04/2023 23:00:00 - 15/04/2023 00:00:00","BZN|ES","Without Sequence","46.34","",""
"15/04/2023 00:00:00 - 15/04/2023 01:00:00","BZN|ES","Without Sequence","36.38","",""
"15/04/2023 01:00:00 - 15/04/2023 02:00:00","BZN|ES","Without Sequence","34.90","",""
"15/04/2023 02:00:00 - 15/04/2023 03:00:00","BZN|ES","Without Sequence","32.50","",""
"15/04/2023 03:00:00 - 15/04/2023 04:00:00","BZN|ES","Without Sequence","32.50","",""
"15/04/2023 04:00:00 - 15/04/2023 05:00:00","BZN|ES","Without Sequence","32.14","",""
"15/04/2023 05:00:00 - 15/04/2023 06:00:00","BZN|ES","Without Sequence","33.10","",""
"15/04/2023 06:00:00 - 15/04/2023 07:00:00","BZN|ES","Without Sequence","35.25","",""
"15/04/2023 07:00:00 - 15/04/2023 08:00:00","BZN|ES","Without Sequence","37.00","",""
"15/04/2023 08:00:00 - 15/04/2023 09:00:00","BZN|ES","Without Sequence","36.40","",""
"15/04/2023 09:00:00 - 15/04/2023 10:00:00","BZN|ES","Without Sequence","25.00","",""
"15/04/2023 10:00:00 - 15/04/2023 11:00:00","BZN|ES","Without Sequence","4.17","",""
"15/04/2023 11:00:00 - 15/04/2023 12:00:00","BZN|ES","Without Sequence","1.60","",""
"15/04/2023 12:00:00 - 15/04/2023 13:00:00","BZN|ES","Without Sequence","1.50","",""
"15/04/2023 13:00:00 - 15/04/2023 14:00:00","BZN|ES","Without Sequence","1.50","",""
"15/04/2023 14:00:00 - 15/04/2023 15:00:00","BZN|ES","Without Sequence","1.50","",""
"15/04/2023 15:00:00 - 15/04/2023 16:00:00","BZN|ES","Without Sequence","0.10","",""
"15/04/2023 16:00:00 - 15/04/2023 17:00:00","BZN|ES","Without Sequence","0.00","",""
"15/04/2023 17:00:00 - 15/04/2023 18:00:00","BZN|ES","Without Sequence","0.10","",""
"15/04/2023 18:00:00 - 15/04/2023 19:00:00","BZN|ES","Without Sequence","1.50","",""
"15/04/2023 19:00:00 - 15/04/2023 20:00:00","BZN|ES","Without Sequence","13.30","",""
