"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|ES","Without Sequence","138.92","",""
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|ES","Without Sequence","155.59","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|ES","Without Sequence","169.17","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|ES","Without Sequence","171.18","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|ES","Without Sequence","154.90","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|ES","Without Sequence","146.71","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|ES","Without Sequence","133.33","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|ES","Without Sequence","130.00","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|ES","Without Sequence","126.00","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|ES","Without Sequence","120.00","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|ES","Without Sequence","135.56","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|ES","Without Sequence","156.30","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|ES","Without Sequence","169.01","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|ES","Without Sequence","160.99","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|ES","Without Sequence","152.10","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|ES","Without Sequence","149.92","",""
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|ES","Without Sequence","132.53","",""
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|ES","Without Sequence","115.00","",""
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|ES","Without Sequence","119.99","",""
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|ES","Without Sequence","100.00","",""
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|ES","Without Sequence","90.23","",""
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|ES","Without Sequence","84.20","",""
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|ES","Without Sequence","80.23","",""
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|ES","Without Sequence","87.31","",""
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|ES","Without Sequence","109.00","",""
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|ES","Without Sequence","105.10","",""
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|ES","Without Sequence","134.16","",""
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|ES","Without Sequence","129.30","",""
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|ES","Without Sequence","120.70","",""
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|ES","Without Sequence","96.77","",""
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|ES","Without Sequence","105.03","",""
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|ES","Without Sequence","106.00","",""
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|ES","Without Sequence","105.07","",""
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|ES","Without Sequence","103.90","",""
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|ES","Without Sequence","107.98","",""
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|ES","Without Sequence","129.82","",""
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|ES","Without Sequence","167.29","",""
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","BZN|ES","Without Sequence","160.60","",""
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","BZN|ES","Without Sequence","151.55","",""
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","BZN|ES","Without Sequence","140.61","",""
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","BZN|ES","Without Sequence","126.58","",""
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","BZN|ES","Without Sequence","104.75","",""
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","BZN|ES","Without Sequence","95.05","",""
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","BZN|ES","Without Sequence","79.21","",""
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","BZN|ES","Without Sequence","68.07","",""
"05/01/2023 03:00:00 - 05/01/2023 04:00:00","BZN|ES","Without Sequence","64.27","",""
"05/01/2023 04:00:00 - 05/01/2023 05:00:00","BZN|ES","Without Sequence","61.97","",""
"05/01/2023 05:00:00 - 05/01/2023 06:00:00","BZN|ES","Without Sequence","65.10","",""
"05/01/2023 06:00:00 - 05/01/2023 07:00:00","BZN|ES","Without Sequence","95.05","",""
"05/01/2023 07:00:00 - 05/01/2023 08:00:00","BZN|ES","Without Sequence","108.23","",""
"05/01/2023 08:00:00 - 05/01/2023 09:00:00","BZN|ES","Without Sequence","135.00","",""
"05/01/2023 09:00:00 - 05/01/2023 10:00:00","BZN|ES","Without Sequence","123.27","",""
"05/01/2023 10:00:00 - 05/01/2023 11:00:00","BZN|ES","Without Sequence","104.97","",""
"05/01/2023 11:00:00 - 05/01/2023 12:00:00","BZN|ES","Without Sequence","113.53","",""
"05/01/2023 12:00:00 - 05/01/2023 13:00:00","BZN|ES","Without Sequence","100.82","",""
"05/01/2023 13:00:00 - 05/01/2023 14:00:00","BZN|ES","Without Sequence","96.44","",""
"05/01/2023 14:00:00 - 05/01/2023 15:00:00","BZN|ES","Without Sequence","93.90","",""
"05/01/2023 15:00:00 - 05/01/2023 16:00:00","BZN|ES","Without Sequence","91.16","",""
"05/01/2023 16:00:00 - 05/01/2023 17:00:00","BZN|ES","Without Sequence","94.43","",""
"05/01/2023 17:00:00 - 05/01/2023 18:00:00","BZN|ES","Without Sequence","118.90","",""
"05/01/2023 18:00:00 - 05/01/2023 19:00:00","BZN|ES","Without Sequence","163.20","",""
"05/01/2023 19:00:00 - 05/01/2023 20:00:00","BZN|ES","Without Sequence","177.98","",""
"05/01/2023 20:00:00 - 05/01/2023 21:00:00","BZN|ES","Without Sequence","163.99","",""
"05/01/2023 21:00:00 - 05/01/2023 22:00:00","BZN|ES","Without Sequence","152.00","",""
"05/01/2023 22:00:00 - 05/01/2023 23:00:00","BZN|ES","Without Sequence","135.00","",""
"05/01/2023 23:00:00 - 06/01/2023 00:00:00","BZN|ES","Without Sequence","118.90","",""
"06/01/2023 00:00:00 - 06/01/2023 01:00:00","BZN|ES","Without Sequence","107.21","",""
"06/01/2023 01:00:00 - 06/01/2023 02:00:00","BZN|ES","Without Sequence","101.10","",""
"06/01/2023 02:00:00 - 06/01/2023 03:00:00","BZN|ES","Without Sequence","96.73","",""
"06/01/2023 03:00:00 - 06/01/2023 04:00:00","BZN|ES","Without Sequence","81.37","",""
"06/01/2023 04:00:00 - 06/01/2023 05:00:00","BZN|ES","Without Sequence","75.75","",""
"06/01/2023 05:00:00 - 06/01/2023 06:00:00","BZN|ES","Without Sequence","81.00","",""
"06/01/2023 06:00:00 - 06/01/2023 07:00:00","BZN|ES","Without Sequence","97.45","",""
"06/01/2023 07:00:00 - 06/01/2023 08:00:00","BZN|ES","Without Sequence","107.82","",""
"06/01/2023 08:00:00 - 06/01/2023 09:00:00","BZN|ES","Without Sequence","122.80","",""
"06/01/2023 09:00:00 - 06/01/2023 10:00:00","BZN|ES","Without Sequence","125.00","",""
"06/01/2023 10:00:00 - 06/01/2023 11:00:00","BZN|ES","Without Sequence","120.70","",""
"06/01/2023 11:00:00 - 06/01/2023 12:00:00","BZN|ES","Without Sequence","110.05","",""
"06/01/2023 12:00:00 - 06/01/2023 13:00:00","BZN|ES","Without Sequence","103.36","",""
"06/01/2023 13:00:00 - 06/01/2023 14:00:00","BZN|ES","Without Sequence","90.23","",""
"06/01/2023 14:00:00 - 06/01/2023 15:00:00","BZN|ES","Without Sequence","80.23","",""
"06/01/2023 15:00:00 - 06/01/2023 16:00:00","BZN|ES","Without Sequence","70.00","",""
"06/01/2023 16:00:00 - 06/01/2023 17:00:00","BZN|ES","Without Sequence","80.43","",""
"06/01/2023 17:00:00 - 06/01/2023 18:00:00","BZN|ES","Without Sequence","121.20","",""
"06/01/2023 18:00:00 - 06/01/2023 19:00:00","BZN|ES","Without Sequence","128.47","",""
"06/01/2023 19:00:00 - 06/01/2023 20:00:00","BZN|ES","Without Sequence","137.73","",""
"06/01/2023 20:00:00 - 06/01/2023 21:00:00","BZN|ES","Without Sequence","137.73","",""
"06/01/2023 21:00:00 - 06/01/2023 22:00:00","BZN|ES","Without Sequence","132.00","",""
"06/01/2023 22:00:00 - 06/01/2023 23:00:00","BZN|ES","Without Sequence","99.90","",""
"06/01/2023 23:00:00 - 07/01/2023 00:00:00","BZN|ES","Without Sequence","91.10","",""
"07/01/2023 00:00:00 - 07/01/2023 01:00:00","BZN|ES","Without Sequence","53.42","",""
"07/01/2023 01:00:00 - 07/01/2023 02:00:00","BZN|ES","Without Sequence","40.30","",""
"07/01/2023 02:00:00 - 07/01/2023 03:00:00","BZN|ES","Without Sequence","25.50","",""
"07/01/2023 03:00:00 - 07/01/2023 04:00:00","BZN|ES","Without Sequence","24.80","",""
"07/01/2023 04:00:00 - 07/01/2023 05:00:00","BZN|ES","Without Sequence","20.00","",""
"07/01/2023 05:00:00 - 07/01/2023 06:00:00","BZN|ES","Without Sequence","14.85","",""
"07/01/2023 06:00:00 - 07/01/2023 07:00:00","BZN|ES","Without Sequence","14.85","",""
"07/01/2023 07:00:00 - 07/01/2023 08:00:00","BZN|ES","Without Sequence","14.00","",""
"07/01/2023 08:00:00 - 07/01/2023 09:00:00","BZN|ES","Without Sequence","18.28","",""
"07/01/2023 09:00:00 - 07/01/2023 10:00:00","BZN|ES","Without Sequence","20.20","",""
"07/01/2023 10:00:00 - 07/01/2023 11:00:00","BZN|ES","Without Sequence","18.28","",""
"07/01/2023 11:00:00 - 07/01/2023 12:00:00","BZN|ES","Without Sequence","14.00","",""
"07/01/2023 12:00:00 - 07/01/2023 13:00:00","BZN|ES","Without Sequence","10.35","",""
"07/01/2023 13:00:00 - 07/01/2023 14:00:00","BZN|ES","Without Sequence","8.00","",""
"07/01/2023 14:00:00 - 07/01/2023 15:00:00","BZN|ES","Without Sequence","5.46","",""
"07/01/2023 15:00:00 - 07/01/2023 16:00:00","BZN|ES","Without Sequence","4.16","",""
"07/01/2023 16:00:00 - 07/01/2023 17:00:00","BZN|ES","Without Sequence","8.00","",""
"07/01/2023 17:00:00 - 07/01/2023 18:00:00","BZN|ES","Without Sequence","24.61","",""
"07/01/2023 18:00:00 - 07/01/2023 19:00:00","BZN|ES","Without Sequence","40.00","",""
"07/01/2023 19:00:00 - 07/01/2023 20:00:00","BZN|ES","Without Sequence","43.45","",""
"07/01/2023 20:00:00 - 07/01/2023 21:00:00","BZN|ES","Without Sequence","50.00","",""
"07/01/2023 21:00:00 - 07/01/2023 22:00:00","BZN|ES","Without Sequence","43.45","",""
"07/01/2023 22:00:00 - 07/01/2023 23:00:00","BZN|ES","Without Sequence","30.00","",""
"07/01/2023 23:00:00 - 08/01/2023 00:00:00","BZN|ES","Without Sequence","24.61","",""
"08/01/2023 00:00:00 - 08/01/2023 01:00:00","BZN|ES","Without Sequence","7.00","",""
"08/01/2023 01:00:00 - 08/01/2023 02:00:00","BZN|ES","Without Sequence","5.00","",""
"08/01/2023 02:00:00 - 08/01/2023 03:00:00","BZN|ES","Without Sequence","4.20","",""
"08/01/2023 03:00:00 - 08/01/2023 04:00:00","BZN|ES","Without Sequence","4.16","",""
"08/01/2023 04:00:00 - 08/01/2023 05:00:00","BZN|ES","Without Sequence","4.16","",""
"08/01/2023 05:00:00 - 08/01/2023 06:00:00","BZN|ES","Without Sequence","4.16","",""
"08/01/2023 06:00:00 - 08/01/2023 07:00:00","BZN|ES","Without Sequence","4.16","",""
"08/01/2023 07:00:00 - 08/01/2023 08:00:00","BZN|ES","Without Sequence","4.16","",""
"08/01/2023 08:00:00 - 08/01/2023 09:00:00","BZN|ES","Without Sequence","4.16","",""
"08/01/2023 09:00:00 - 08/01/2023 10:00:00","BZN|ES","Without Sequence","5.00","",""
"08/01/2023 10:00:00 - 08/01/2023 11:00:00","BZN|ES","Without Sequence","5.10","",""
"08/01/2023 11:00:00 - 08/01/2023 12:00:00","BZN|ES","Without Sequence","5.05","",""
"08/01/2023 12:00:00 - 08/01/2023 13:00:00","BZN|ES","Without Sequence","4.90","",""
"08/01/2023 13:00:00 - 08/01/2023 14:00:00","BZN|ES","Without Sequence","5.00","",""
"08/01/2023 14:00:00 - 08/01/2023 15:00:00","BZN|ES","Without Sequence","4.60","",""
"08/01/2023 15:00:00 - 08/01/2023 16:00:00","BZN|ES","Without Sequence","4.20","",""
"08/01/2023 16:00:00 - 08/01/2023 17:00:00","BZN|ES","Without Sequence","4.60","",""
"08/01/2023 17:00:00 - 08/01/2023 18:00:00","BZN|ES","Without Sequence","7.10","",""
"08/01/2023 18:00:00 - 08/01/2023 19:00:00","BZN|ES","Without Sequence","17.80","",""
"08/01/2023 19:00:00 - 08/01/2023 20:00:00","BZN|ES","Without Sequence","24.61","",""
"08/01/2023 20:00:00 - 08/01/2023 21:00:00","BZN|ES","Without Sequence","40.00","",""
"08/01/2023 21:00:00 - 08/01/2023 22:00:00","BZN|ES","Without Sequence","40.00","",""
"08/01/2023 22:00:00 - 08/01/2023 23:00:00","BZN|ES","Without Sequence","21.94","",""
"08/01/2023 23:00:00 - 09/01/2023 00:00:00","BZN|ES","Without Sequence","15.70","",""
"09/01/2023 00:00:00 - 09/01/2023 01:00:00","BZN|ES","Without Sequence","5.10","",""
"09/01/2023 01:00:00 - 09/01/2023 02:00:00","BZN|ES","Without Sequence","4.20","",""
"09/01/2023 02:00:00 - 09/01/2023 03:00:00","BZN|ES","Without Sequence","4.20","",""
"09/01/2023 03:00:00 - 09/01/2023 04:00:00","BZN|ES","Without Sequence","4.20","",""
"09/01/2023 04:00:00 - 09/01/2023 05:00:00","BZN|ES","Without Sequence","4.60","",""
"09/01/2023 05:00:00 - 09/01/2023 06:00:00","BZN|ES","Without Sequence","5.50","",""
"09/01/2023 06:00:00 - 09/01/2023 07:00:00","BZN|ES","Without Sequence","24.61","",""
"09/01/2023 07:00:00 - 09/01/2023 08:00:00","BZN|ES","Without Sequence","80.00","",""
"09/01/2023 08:00:00 - 09/01/2023 09:00:00","BZN|ES","Without Sequence","118.00","",""
"09/01/2023 09:00:00 - 09/01/2023 10:00:00","BZN|ES","Without Sequence","121.16","",""
"09/01/2023 10:00:00 - 09/01/2023 11:00:00","BZN|ES","Without Sequence","119.58","",""
"09/01/2023 11:00:00 - 09/01/2023 12:00:00","BZN|ES","Without Sequence","115.00","",""
"09/01/2023 12:00:00 - 09/01/2023 13:00:00","BZN|ES","Without Sequence","106.00","",""
"09/01/2023 13:00:00 - 09/01/2023 14:00:00","BZN|ES","Without Sequence","91.84","",""
"09/01/2023 14:00:00 - 09/01/2023 15:00:00","BZN|ES","Without Sequence","81.28","",""
"09/01/2023 15:00:00 - 09/01/2023 16:00:00","BZN|ES","Without Sequence","72.32","",""
"09/01/2023 16:00:00 - 09/01/2023 17:00:00","BZN|ES","Without Sequence","99.10","",""
"09/01/2023 17:00:00 - 09/01/2023 18:00:00","BZN|ES","Without Sequence","130.26","",""
"09/01/2023 18:00:00 - 09/01/2023 19:00:00","BZN|ES","Without Sequence","161.50","",""
"09/01/2023 19:00:00 - 09/01/2023 20:00:00","BZN|ES","Without Sequence","171.62","",""
"09/01/2023 20:00:00 - 09/01/2023 21:00:00","BZN|ES","Without Sequence","161.21","",""
"09/01/2023 21:00:00 - 09/01/2023 22:00:00","BZN|ES","Without Sequence","139.16","",""
"09/01/2023 22:00:00 - 09/01/2023 23:00:00","BZN|ES","Without Sequence","132.00","",""
"09/01/2023 23:00:00 - 10/01/2023 00:00:00","BZN|ES","Without Sequence","106.34","",""
"10/01/2023 00:00:00 - 10/01/2023 01:00:00","BZN|ES","Without Sequence","105.98","",""
"10/01/2023 01:00:00 - 10/01/2023 02:00:00","BZN|ES","Without Sequence","96.79","",""
"10/01/2023 02:00:00 - 10/01/2023 03:00:00","BZN|ES","Without Sequence","95.31","",""
"10/01/2023 03:00:00 - 10/01/2023 04:00:00","BZN|ES","Without Sequence","90.19","",""
"10/01/2023 04:00:00 - 10/01/2023 05:00:00","BZN|ES","Without Sequence","93.00","",""
"10/01/2023 05:00:00 - 10/01/2023 06:00:00","BZN|ES","Without Sequence","98.00","",""
"10/01/2023 06:00:00 - 10/01/2023 07:00:00","BZN|ES","Without Sequence","117.67","",""
"10/01/2023 07:00:00 - 10/01/2023 08:00:00","BZN|ES","Without Sequence","132.67","",""
"10/01/2023 08:00:00 - 10/01/2023 09:00:00","BZN|ES","Without Sequence","141.84","",""
"10/01/2023 09:00:00 - 10/01/2023 10:00:00","BZN|ES","Without Sequence","141.44","",""
"10/01/2023 10:00:00 - 10/01/2023 11:00:00","BZN|ES","Without Sequence","125.30","",""
